year,avg_rating
1894,5.4
1897,5.2
1898,4.04444
1899,4.8
1900,5.4
1902,4.8
1903,4.68095
1904,4.53333
1905,4.45
1906,4.38966
1907,4.48235
1908,4.60741
1909,4.38696
1910,4.93398
1911,4.99775
1912,5.51415
1913,5.7266
1914,5.86223
1915,6.03098
1916,5.64132
1917,5.95183
1918,5.67654
1919,5.8767
1920,5.19937
1921,5.65587
1922,5.05179
1923,5.81789
1924,6.25
1925,5.99758
1926,6.20987
1927,5.80805
1928,6.5396
1929,6.1317
1930,5.99655
1931,6.12273
1932,6.17469
1933,5.91695
1934,5.95493
1935,6.0988
1936,5.86448
1937,5.98571
1938,6.25559
1939,6.31524
1940,6.22426
1941,6.36543
1942,6.16654
1943,6.33694
1944,5.97898
1945,6.20825
1946,6.44489
1947,6.36454
1948,6.37237
1949,6.37632
1950,6.13724
1951,6.41944
1952,6.24236
1953,6.25226
1954,6.22542
1955,6.20556
1956,6.26254
1957,6.28963
1958,6.39986
1959,6.14006
1960,6.24641
1961,6.26774
1962,6.33592
1963,6.32506
1964,6.18768
1965,6.19744
1966,6.25674
1967,6.25408
1968,6.25715
1969,6.14079
1970,5.90304
1971,5.85306
1972,5.96299
1973,5.8505
1974,5.95431
1975,5.94546
1976,5.97339
1977,5.97816
1978,6.16352
1979,6.11242
1980,6.05884
1981,6.12861
1982,5.99668
1983,6.15015
1984,6.10849
1985,6.23559
1986,5.94983
1987,6.00169
1988,6
1989,6.13082
1990,6.07908
1991,6.13936
1992,5.97682
1993,6.08922
1994,5.98238
1995,5.81603
1996,6.08388
1997,6.05827
1998,6.03669
1999,5.97225
2000,6.04085
2001,6.07466
2002,6.15806
2003,6.17919
2004,6.2604
2005,6.24317
2006,6.18076
2007,6.22589
2008,6.16737
2009,6.17279
2010,6.24386
2011,6.21367
2012,6.07277
2013,5.97538
2014,5.95847
2015,6.00438
2016,6.26318
2017,6.17605
2018,6.34971
2019,6.71253
